TRI Incident Number,Subject Injury Level,Subject Injured,Age,Subject Race,Subject Gender,Force Against MOS,Subject Used Force
2022063962250,No Injury,N,,BLACK,MALE,Physical Force,Y
2022063962295,No Injury,N,,BLACK,MALE,Physical Force,Y
2022065962252,No Injury,N,,BLACK,MALE,Physical Force,Y
2022065962428,No Injury,N,,BLACK,MALE,Physical Force,Y
2022066962064,No Injury,N,,BLACK,MALE,Physical Force,Y
2022066962131,No Injury,N,,BLACK,MALE,Physical Force,Y
2022066962153,No Injury,N,,BLACK,MALE,Physical Force,Y
2022067962020,No Injury,N,,BLACK,MALE,Physical Force,Y
2022067962054,No Injury,N,,BLACK,MALE,Physical Force,Y
2022067962054,No Injury,N,,BLACK,MALE,Physical Force,Y
2022067962086,No Injury,N,,BLACK,MALE,Physical Force,Y
2022067962188,No Injury,N,,BLACK,MALE,Physical Force,Y
2022071962181,No Injury,N,,BLACK,MALE,Physical Force,Y
2022079962088,No Injury,N,,BLACK,MALE,Physical Force,Y
2022079962093,No Injury,N,,BLACK,MALE,Physical Force,Y
2022082962070,No Injury,N,,BLACK,MALE,Physical Force,Y
2022085962036,No Injury,N,,BLACK,MALE,Physical Force,Y
2022086962073,No Injury,N,,BLACK,MALE,Physical Force,Y
2022086962190,No Injury,N,,BLACK,MALE,Physical Force,Y
2022086962229,No Injury,N,,BLACK,MALE,Physical Force,Y
2022089962021,No Injury,N,,BLACK,MALE,Physical Force,Y
2022089962068,No Injury,N,,BLACK,MALE,Physical Force,Y
2022089962159,No Injury,N,,BLACK,MALE,Physical Force,Y
2022090962019,No Injury,N,,BLACK,MALE,Physical Force,Y
2022092962274,No Injury,N,,BLACK,MALE,Physical Force,Y
2022094962032,No Injury,N,,BLACK,MALE,Physical Force,Y
2022094962145,No Injury,N,,BLACK,MALE,Physical Force,Y
2022094962163,No Injury,N,,BLACK,MALE,Physical Force,Y
2022094962272,No Injury,N,,BLACK,MALE,Physical Force,Y
2022096962045,No Injury,N,,BLACK,MALE,Physical Force,Y
2022097962026,No Injury,N,,BLACK,MALE,Physical Force,Y
2022097962026,No Injury,N,,BLACK,MALE,Physical Force,Y
2022097962086,No Injury,N,,BLACK,MALE,Physical Force,Y
2022098962045,No Injury,N,,BLACK,MALE,Physical Force,Y
2022098962131,No Injury,N,,BLACK,MALE,Physical Force,Y
2022098962180,No Injury,N,,BLACK,MALE,Physical Force,Y
2022100962052,No Injury,N,,BLACK,MALE,Physical Force,Y
2022102962067,No Injury,N,,BLACK,MALE,Physical Force,Y
2022103962046,No Injury,N,,BLACK,MALE,Physical Force,Y
2022119962019,No Injury,N,,BLACK,MALE,Physical Force,Y
2022119962070,No Injury,N,,BLACK,MALE,Physical Force,Y
2022120962086,No Injury,N,,BLACK,MALE,Physical Force,Y
2022122962254,No Injury,N,,BLACK,MALE,Physical Force,Y
2022124962023,No Injury,N,,BLACK,MALE,Physical Force,Y
2022124962069,No Injury,N,,BLACK,MALE,Physical Force,Y
2022124962083,No Injury,N,,BLACK,MALE,Physical Force,Y
2022124962136,No Injury,N,,BLACK,MALE,Physical Force,Y
2022125962109,No Injury,N,,BLACK,MALE,Physical Force,Y
2022127962035,No Injury,N,,BLACK,MALE,Physical Force,Y
2022127962063,No Injury,N,,BLACK,MALE,Physical Force,Y
2022130962032,No Injury,N,,BLACK,MALE,Physical Force,Y
2022132962115,No Injury,N,,BLACK,MALE,Physical Force,Y
2022133962144,No Injury,N,,BLACK,MALE,Physical Force,Y
2022133962173,No Injury,N,,BLACK,MALE,Physical Force,Y
2022139962044,No Injury,N,,BLACK,MALE,Physical Force,Y
2022139962044,No Injury,N,,BLACK,MALE,Physical Force,Y
2022139962084,No Injury,N,,BLACK,MALE,Physical Force,Y
2022139962087,No Injury,N,,BLACK,MALE,Physical Force,Y
2022139962192,No Injury,N,,BLACK,MALE,Physical Force,Y
2022139962272,No Injury,N,,BLACK,MALE,Physical Force,Y
2022141962075,No Injury,N,,BLACK,MALE,Physical Force,Y
2023020962038,No Injury,N,,BLACK,MALE,Physical Force,Y
2023020962049,No Injury,N,,BLACK,MALE,Physical Force,Y
2023020962124,No Injury,N,,BLACK,MALE,Physical Force,Y
2023020962150,No Injury,N,,BLACK,MALE,Physical Force,Y
2023020962153,No Injury,N,,BLACK,MALE,Physical Force,Y
2023020962161,No Injury,N,,BLACK,MALE,Physical Force,Y
2023024962022,No Injury,N,,BLACK,MALE,Physical Force,Y
2023025962026,No Injury,N,,BLACK,MALE,Physical Force,Y
2023026962028,No Injury,N,,BLACK,MALE,Physical Force,Y
2023028962124,No Injury,N,,BLACK,MALE,Physical Force,Y
2023029962029,No Injury,N,,BLACK,MALE,Physical Force,Y
2023029962032,No Injury,N,,BLACK,MALE,Physical Force,Y
2023029962070,No Injury,N,,BLACK,MALE,Physical Force,Y
2023032962037,No Injury,N,,BLACK,MALE,Physical Force,Y
2023032962049,No Injury,N,,BLACK,MALE,Physical Force,Y
2023032962070,No Injury,N,,BLACK,MALE,Physical Force,Y
2023033962106,No Injury,N,,BLACK,MALE,Physical Force,Y
2023033962107,No Injury,N,,BLACK,MALE,Physical Force,Y
2023033962137,No Injury,N,,BLACK,MALE,Physical Force,Y
2023033962162,No Injury,N,,BLACK,MALE,Physical Force,Y
2023033962301,No Injury,N,,BLACK,MALE,Physical Force,Y
2023033962391,No Injury,N,,BLACK,MALE,Physical Force,Y
2023037962036,No Injury,N,,BLACK,MALE,Physical Force,Y
2023037962095,No Injury,N,,BLACK,MALE,Physical Force,Y
2023037962110,No Injury,N,,BLACK,MALE,Physical Force,Y
2023038962035,No Injury,N,,BLACK,MALE,Physical Force,Y
2023038962056,No Injury,N,,BLACK,MALE,Physical Force,Y
2023038962071,No Injury,N,,BLACK,MALE,Physical Force,Y
2023038962117,No Injury,N,,BLACK,MALE,Physical Force,Y
2023039962019,No Injury,N,,BLACK,MALE,Physical Force,Y
2023044962074,No Injury,N,,BLACK,MALE,Physical Force,Y
2023044962082,No Injury,N,,BLACK,MALE,Physical Force,Y
2023047962115,No Injury,N,,BLACK,MALE,Physical Force,Y
2023049962042,No Injury,N,,BLACK,MALE,Physical Force,Y
2023049962062,No Injury,N,,BLACK,MALE,Physical Force,Y
2023051962032,No Injury,N,,BLACK,MALE,Physical Force,Y
2023051962112,No Injury,N,,BLACK,MALE,Physical Force,Y
2023051962131,No Injury,N,,BLACK,MALE,Physical Force,Y
2023051962150,No Injury,N,,BLACK,MALE,Physical Force,Y
2023059962134,No Injury,N,,BLACK,MALE,Physical Force,Y
2023059962141,No Injury,N,,BLACK,MALE,Physical Force,Y
2023059962296,No Injury,N,,BLACK,MALE,Physical Force,Y
2023059962309,No Injury,N,,BLACK,MALE,Physical Force,Y
2023059962323,No Injury,N,,BLACK,MALE,Physical Force,Y
2023059962350,No Injury,N,,BLACK,MALE,Physical Force,Y
2023059962431,No Injury,N,,BLACK,MALE,Physical Force,Y
2023060962062,No Injury,N,,BLACK,MALE,Physical Force,Y
2023060962116,No Injury,N,,BLACK,MALE,Physical Force,Y
2023061962112,No Injury,N,,BLACK,MALE,Physical Force,Y
2023061962234,No Injury,N,,BLACK,MALE,Physical Force,Y
2023061962287,No Injury,N,,BLACK,MALE,Physical Force,Y
2023061962295,No Injury,N,,BLACK,MALE,Physical Force,Y
2023063962197,No Injury,N,,BLACK,MALE,Physical Force,Y
2023063962239,No Injury,N,,BLACK,MALE,Physical Force,Y
2023064962045,No Injury,N,,BLACK,MALE,Physical Force,Y
2023065962051,No Injury,N,,BLACK,MALE,Physical Force,Y
2023065962135,No Injury,N,,BLACK,MALE,Physical Force,Y
2023065962223,No Injury,N,,BLACK,MALE,Physical Force,Y
2023065962223,No Injury,N,,BLACK,MALE,Physical Force,Y
2023065962223,No Injury,N,,BLACK,MALE,Physical Force,Y
2023065962412,No Injury,N,,BLACK,MALE,Physical Force,Y
2023065962469,No Injury,N,,BLACK,MALE,Physical Force,Y
2023065962528,No Injury,N,,BLACK,MALE,Physical Force,Y
2023066962112,No Injury,N,,BLACK,MALE,Physical Force,Y
2023066962252,No Injury,N,,BLACK,MALE,Physical Force,Y
2023066962257,No Injury,N,,BLACK,MALE,Physical Force,Y
2023066962264,No Injury,N,,BLACK,MALE,Physical Force,Y
2023066962275,No Injury,N,,BLACK,MALE,Physical Force,Y
2023067962108,No Injury,N,,BLACK,MALE,Physical Force,Y
2023067962160,No Injury,N,,BLACK,MALE,Physical Force,Y
2023067962163,No Injury,N,,BLACK,MALE,Physical Force,Y
2023068962019,No Injury,N,,BLACK,MALE,Physical Force,Y
2023068962110,No Injury,N,,BLACK,MALE,Physical Force,Y
2023071962084,No Injury,N,,BLACK,MALE,Physical Force,Y
2023071962164,No Injury,N,,BLACK,MALE,Physical Force,Y
2023079962070,No Injury,N,,BLACK,MALE,Physical Force,Y
2023079962120,No Injury,N,,BLACK,MALE,Physical Force,Y
2023082962050,No Injury,N,,BLACK,MALE,Physical Force,Y
2023086962021,No Injury,N,,BLACK,MALE,Physical Force,Y
2023086962099,No Injury,N,,BLACK,MALE,Physical Force,Y
2023086962112,No Injury,N,,BLACK,MALE,Physical Force,Y
2023089962061,No Injury,N,,BLACK,MALE,Physical Force,Y
2023089962109,No Injury,N,,BLACK,MALE,Physical Force,Y
2023092962075,No Injury,N,,BLACK,MALE,Physical Force,Y
2023092962239,No Injury,N,,BLACK,MALE,Physical Force,Y
2023092962251,No Injury,N,,BLACK,MALE,Physical Force,Y
2023092962272,No Injury,N,,BLACK,MALE,Physical Force,Y
2023094962263,No Injury,N,,BLACK,MALE,Physical Force,Y
2023094962385,No Injury,N,,BLACK,MALE,Physical Force,Y
